,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Nominated for 4 Oscars. Another 12 wins & 71 nominations.,"$619,117,636",USA,27 Mar 2018,Rian Johnson,"Action, Adventure, Fantasy",English,85,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",https://ia.media-imdb.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",15 Dec 2017,True,152 min,Star Wars: The Last Jedi,movie,http://www.starwars.com/the-last-jedi/,"Rian Johnson, George Lucas (based on characters created by)",2017,tt2527336,7.3,"371,631"
1,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",Nominated for 2 Oscars. Another 12 wins & 65 nominations.,"$503,974,884",USA,06 Jun 2017,Bill Condon,"Family, Fantasy, Musical",English,65,An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.,https://ia.media-imdb.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",17 Mar 2017,True,129 min,Beauty and the Beast,movie,http://movies.disney.com/beauty-and-the-beast-2017,"Stephen Chbosky (screenplay by), Evan Spiliotopoulos (screenplay by), Linda Woolverton (based on the 1991 animated film ""Beauty and the Beast"",  animation screenplay by)",2017,tt2771200,7.2,"204,777"
2,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",17 wins & 54 nominations.,"$412,400,625","Hong Kong, China, USA",19 Sep 2017,Patty Jenkins,"Action, Adventure, Fantasy","English, German, Dutch, French, Spanish, Chinese, Greek,  Ancient (to 1453), North American Indian",76,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",https://ia.media-imdb.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",02 Jun 2017,True,141 min,Wonder Woman,movie,http://wonderwomanfilm.com/,"Allan Heinberg (screenplay by), Zack Snyder (story by), Allan Heinberg (story by), Jason Fuchs (story by), William Moulton Marston (Wonder Woman created by)",2017,tt0451279,7.5,"405,967"
3,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",2 wins & 3 nominations.,"$393,201,353",USA,20 Mar 2018,Jake Kasdan,"Action, Adventure, Comedy",English,58,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",https://ia.media-imdb.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",20 Dec 2017,True,119 min,Jumanji: Welcome to the Jungle,movie,http://www.jumanjimovie.com/,"Chris McKenna (screenplay by), Erik Sommers (screenplay by), Scott Rosenberg (screenplay by), Jeff Pinkner (screenplay by), Chris McKenna (screen story by), Chris Van Allsburg (based on the book ""Jumanji"" by), Greg Taylor (based on the film ""Jumanji"" screenplay by), Jim Strain (based on the film ""Jumanji"" screen story by), Chris Van Allsburg (based on the film ""Jumanji"" screen story by), Jonathan Hensleigh (based on the film ""Jumanji"" screenplay by), Greg Taylor (based on the film ""Jumanji"" screen story by), Jim Strain (based on the film ""Jumanji"" screenplay by)",2017,tt2283362,7.0,"131,303"
4,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",Nominated for 1 Oscar. Another 12 wins & 42 nominations.,"$389,804,217",USA,22 Aug 2017,James Gunn,"Action, Adventure, Sci-Fi",English,67,The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.,https://ia.media-imdb.com/images/M/MV5BMTg2MzI1MTg3OF5BMl5BanBnXkFtZTgwNTU3NDA2MTI@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",05 May 2017,True,136 min,Guardians of the Galaxy Vol. 2,movie,https://marvel.com/guardians,"James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-lord created by), Steve Gan (Star-lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)",2017,tt3896198,7.7,"362,736"
5,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",4 wins & 9 nominations.,"$334,166,825",USA,17 Oct 2017,Jon Watts,"Action, Adventure, Sci-Fi","English, Spanish",73,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",https://ia.media-imdb.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",07 Jul 2017,True,133 min,Spider-Man: Homecoming,movie,http://www.sonypictures.com/movies/spidermanhomecoming/,"Jonathan Goldstein (screenplay by), John Francis Daley (screenplay by), Jon Watts (screenplay by), Christopher Ford (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jonathan Goldstein (screen story by), John Francis Daley (screen story by), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America)",2017,tt2250912,7.5,"317,329"
6,"Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",4 wins & 30 nominations.,"$326,898,358","USA, Canada",09 Jan 2018,Andy Muschietti,"Drama, Horror, Thriller",English,69,"In the summer of 1989, a group of bullied kids band together to destroy a shapeshifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",https://ia.media-imdb.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",08 Sep 2017,True,135 min,It,movie,http://www.Itthemovie.com,"Chase Palmer (screenplay by), Cary Joji Fukunaga (screenplay by), Gary Dauberman (screenplay by), Stephen King (based on the novel by)",2017,tt1396484,7.5,"264,273"
7,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",5 wins & 30 nominations.,"$314,971,245",USA,06 Mar 2018,Taika Waititi,"Action, Adventure, Comedy",English,74,"Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, which is at the hands of the powerful and ruthless villain Hela.",https://ia.media-imdb.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",03 Nov 2017,True,130 min,Thor: Ragnarok,movie,http://movies.disney.com/thor-ragnarok,"Eric Pearson, Craig Kyle, Christopher Yost, Stan Lee (based on the comics by), Larry Lieber (based on the comics by), Jack Kirby (based on the comics by)",2017,tt3501632,7.9,"298,910"
8,"Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove",25 nominations.,"$264,194,540",USA,05 Dec 2017,"Kyle Balda, Pierre Coffin, Eric Guillon(co-director)","Animation, Action, Adventure",English,49,"Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",https://ia.media-imdb.com/images/M/MV5BNjUyNzQ2MTg3Ml5BMl5BanBnXkFtZTgwNzE4NDM3MTI@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",30 Jun 2017,True,89 min,Despicable Me 3,movie,http://www.despicable.me/,"Cinco Paul, Ken Daurio",2017,tt3469046,6.3,"72,139"
9,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",1 win & 6 nominations.,"$227,032,490","USA, UK, Canada",13 Mar 2018,Zack Snyder,"Action, Adventure, Fantasy","English, Irish, Russian, Icelandic",45,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy.",https://ia.media-imdb.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",17 Nov 2017,True,120 min,Justice League,movie,http://www.justiceleaguethemovie.com/,"Chris Terrio (screenplay by), Joss Whedon (screenplay by), Chris Terrio (story by), Zack Snyder (story by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Gardner Fox (Justice League of America created by), Bob Kane (Batman created by), Bill Finger (Batman created by), William Moulton Marston (Wonder Woman created by), Jack Kirby (Fourth World created by)",2017,tt0974015,6.7,"244,616"
